Spec,Name,Event Description,prop name,type,prop description,Req'd/Optional
eCommerce,Products Searched,User searched for products,query,String,Query the user searched with,O
eCommerce,Product List Viewed,User viewed a product list or category,list_id,String,Product list being viewed,O
,,,category,String,Product category being viewed,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Product List Filtered,User filtered a product list or category,list_id,String,Product list being viewed,O
,,,category,String,Product category being viewed,O
,,,filters,Array,Product filters that the customer is using,O
,,,filters.$.type,String,ID of the filter type being used,O
,,,filters.$.value,String,ID of the selection chosen,O
,,,sorts,Array,Product sorting the customer is using,O
,,,sorts.$.type,String,ID of the sort type being used,O
,,,sorts.$.value,String,ID of the selection type being used,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Promotion Viewed,User viewed promotion,promotion_id,String,ID of the promotion,O
,,,promotion_creative,String,Description of promotion's creative,O
,,,promotion_name,String,Name of the promotion,O
,,,promotion_position,String,Position of the promotion,O
eCommerce,Promotion Clicked,User clicked on promotion,promotion_id,String,ID of the promotion,O
,,,promotion_creative,String,Description of promotion's creative,O
,,,promotion_name,String,Name of the promotion,O
,,,promotion_position,String,Position of the promotion,O
eCommerce,Product Clicked,User clicked on a product,cart_id,String,Cart ID associated with the product displayed,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Product Viewed,User viewed a product details,cart_id,String,Cart ID associated with the product displayed,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Product Added,User added a product to their shopping cart,cart_id,String,Cart ID associated with the product displayed,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Product Removed,User removed a product from their shopping cart,cart_id,String,Cart ID associated with the product displayed,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Cart Viewed,User viewed their shopping cart,cart_id,String,Cart ID associated with the product displayed,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Checkout Started,User initiated the order process (a transaction is created),order_id,String,Order/transaction ID,R
,,,affiliation,String,Store or affiliation from which this transaction occurred,O
,,,total,Number,Revenue with discounts and coupons added,O
,,,revenue,Number,Revenue ($) associated with the transaction,R
,,,shipping,Number,Shipping cost associated with the transaction,O
,,,tax,Number,Total tax associated with the transaction,O
,,,discount,Number,Total discount associated with the transaction,O
,,,coupon,String,Coupon code associated with the product,O
,,,currency,String,Currency code associated with the transaction,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Checkout Step Viewed,User viewed a checkout step,checkout_id,String,Checkout transaction ID,O
,,,step,Integer,Number representing a step in the checkout process,O
,,,shipping_method,String,String representing the shipping method chosen,O
,,,payment_method,String,String representing the payment method chosen,O
eCommerce,Checkout Step Completed,User completed a checkout step,checkout_id,String,Checkout transaction ID,O
,,,step,Integer,Number representing a step in the checkout process,O
,,,shipping_method,String,String representing the shipping method chosen,O
,,,payment_method,String,String representing the payment method chosen,O
eCommerce,Payment Info Entered,User added payment information,checkout_id,String,Checkout transaction ID,O
,,,order_id,String,Order/transaction ID,R
,,,step,Integer,Number representing a step in the checkout process,O
,,,shipping_method,String,String representing the shipping method chosen,O
,,,payment_method,String,String representing the payment method chosen,
eCommerce,Order Completed,User completed the order,order_id,String,Order/transaction ID,R
,,,affiliation,String,Store or affiliation from which this transaction occurred,O
,,,total,Number,Revenue with discounts and coupons added,O
,,,revenue,Number,Revenue ($) associated with the transaction,R
,,,shipping,Number,Shipping cost associated with the transaction,O
,,,tax,Number,Total tax associated with the transaction,O
,,,discount,Number,Total discount associated with the transaction,O
,,,coupon,String,Coupon code associated with the product,O
,,,currency,String,Currency code associated with the transaction,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Order Updated,User updated the order,order_id,String,Order/transaction ID,R
,,,affiliation,String,Store or affiliation from which this transaction occurred,O
,,,total,Number,Revenue with discounts and coupons added,O
,,,revenue,Number,Revenue ($) associated with the transaction,R
,,,shipping,Number,Shipping cost associated with the transaction,O
,,,tax,Number,Total tax associated with the transaction,O
,,,discount,Number,Total discount associated with the transaction,O
,,,coupon,String,Coupon code associated with the product,O
,,,currency,String,Currency code associated with the transaction,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Order Refunded,User refunded the order,order_id,String,Order/transaction ID,R
,,,affiliation,String,Store or affiliation from which this transaction occurred,O
,,,total,Number,Revenue with discounts and coupons added,O
,,,revenue,Number,Revenue ($) associated with the transaction,R
,,,shipping,Number,Shipping cost associated with the transaction,O
,,,tax,Number,Total tax associated with the transaction,O
,,,discount,Number,Total discount associated with the transaction,O
,,,coupon,String,Coupon code associated with the product,O
,,,currency,String,Currency code associated with the transaction,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Order Cancelled,User cancelled the order,order_id,String,Order/transaction ID,R
,,,affiliation,String,Store or affiliation from which this transaction occurred,O
,,,total,Number,Revenue with discounts and coupons added,O
,,,revenue,Number,Revenue ($) associated with the transaction,R
,,,shipping,Number,Shipping cost associated with the transaction,O
,,,tax,Number,Total tax associated with the transaction,O
,,,discount,Number,Total discount associated with the transaction,O
,,,coupon,String,Coupon code associated with the product,O
,,,currency,String,Currency code associated with the transaction,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
,,,products.$.sku,String,Product SKU displayed in the list,O
,,,products.$.category,String,Product Category displayed in the list,O
,,,products.$.name,String,Product Name displayed in the list,O
,,,products.$.brand,String,Product Brand displayed in the list,O
,,,products.$.variant,String,Product Variant displayed in the list,O
,,,products.$.price,Number,Product Price displayed in the list,O
,,,products.$.quantity,Integer,Product quantity displayed in the list,O
,,,products.$.coupon,String,Coupon code associated with the product,O
,,,products.$.position,Number,Position of product in the list,O
,,,products.$.url,String,URL of the product page for product in the list,O
,,,products.$.image_url,String,Image url of the product in the list,O
eCommerce,Coupon Entered,User entered a coupon on a shopping cart or order,order_id,String,Order/transaction ID,R
,,,cart_id,String,Cart ID associated with the product displayed,O
,,,coupon_id,String,ID of the coupon,R
,,,coupon_name,String,Name of the coupon,O
eCommerce,Coupon Applied,Coupon was applied on a user’s shopping cart or order,order_id,String,Order/transaction ID,R
,,,cart_id,String,Cart ID associated with the product displayed,O
,,,coupon_id,String,ID of the coupon,R
,,,coupon_name,String,Name of the coupon,O
,,,discount,Number,Total discount associated with the transaction,O
eCommerce,Coupon Denied,Coupon was denied from a user’s shopping cart or order,order_id,String,Order/transaction ID,R
,,,cart_id,String,Cart ID associated with the product displayed,O
,,,coupon_id,String,ID of the coupon,R
,,,coupon_name,String,Name of the coupon,O
,,,reason,String,Reason the coupon was denied,O
eCommerce,Coupon Removed,User removed a coupon from a cart or order,order_id,String,Order/transaction ID,R
,,,cart_id,String,Cart ID associated with the product displayed,O
,,,coupon_id,String,ID of the coupon,R
,,,coupon_name,String,Name of the coupon,O
,,,discount,Number,Total discount associated with the transaction,O
eCommerce,Product Added to Wishlist,User added a product to the wish list,wishlist_id,String,Wishlist ID to which the product was added,R
,,,wishlist_name,String,Wishlist name to which the product was added,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Product Removed from Wishlist,User removed a product from the wish list,wishlist_id,String,Wishlist ID to which the product was added,R
,,,wishlist_name,String,Wishlist name to which the product was added,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Wishlist Product Added to Cart,User added a wishlist product to the cart,wishlist_id,String,Wishlist ID to which the product was added,R
,,,wishlist_name,String,Wishlist name to which the product was added,O
,,,cart_id,String,Cart ID associated with the product displayed,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,quantity,Integer,Quantity of the product,O
,,,coupon,String,Coupon code associated with the product,O
,,,position,Integer,Position of product in the list,O
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Product Shared,Shared a product with one or more friends,share_via,String,Method of sharing,R
,,,share_message,String,Message that the sender sent,O
,,,recipient,String,Recipient of the sharing,O
,,,product_id,String,Database ID of the product,R
,,,sku,String,Sku of the product,O
,,,category,String,Product category being viewed,O
,,,name,String,Name of the product,O
,,,brand,String,Brand of the product,O
,,,variant,String,Variant of the product,O
,,,price,Number,Price of the product,R
,,,url,String,URL of the product page for product,O
,,,image_url,String,Image url of the product,O
eCommerce,Cart Shared,Shared the cart with one or more friends,share_via,String,Method of sharing,R
,,,share_message,String,Message that the sender sent,O
,,,recipient,String,Recipient of the sharing,O
,,,cart_id,String,Cart ID associated with the product displayed,O
,,,products,Array,Products displayed in the product list,R
,,,products.$.product_id,String,Product ID displayed in the list,R
eCommerce,Product Reviewed,User reviewed a product,product_id,String,Database ID of the product,R
,,,review_id,String,ID of the review posted,O
,,,review_body,String,Content of the review,O
,,,rating,Integer,Star rating,O
B2B SaaS,Account Created,New account is created,account_name,String,The name of the account being created,R
,,,context,Array,The context array,O
,,,context.group_id,String,The id of the account being created/updated/deleted,O
B2B SaaS,Account Deleted,Account is deleted,account_name,String,The name of the account being created,R
,,,context,Array,The context array,O
,,,context.group_id,String,The id of the account being created/updated/deleted,O
B2B SaaS,Signed Up,User signs up for your service,username,String,The username of the user,R
,,,context,Array,The context array,O
